"Word"	"Frequency"
"administration"	115
"administrations"	7
"administrative"	4
"administrators"	2
"admirable"	2
"admirably"	1
"admiration"	1
"admire"	4
"admired"	9
"admirer"	2
"admirers"	1
"admires"	6
"admission"	7
"admissions"	6
"admit"	20
"admits"	6
"admitted"	17
"admittedly"	1
"admitting"	3
"admonished"	1
"admonishments"	1
"adolescence"	2
"adolescent"	4
"adolescents"	3
"adopt"	7
"adopted"	8
"adopting"	1
"adoption"	8
"adored"	1
"adoring"	2
"adorned"	1
"adri"	1
"adria"	1
"adrian"	3
"adriana"	1
"adriatic"	1
"adrift"	1
"ads"	34
"adulation"	1
"adult"	26
"adultery"	2
"adulthood"	3
"adults"	27
"advance"	11
"advanced"	17
"advancement"	2
"advances"	2
"advancing"	4
"advantage"	58
"advantageous"	1
"advantages"	5
"advent"	1
"adventists"	1
"adventure"	7
"adventurer"	2
"adventures"	2
"adventurous"	1
"adverb"	1
"adversaries"	3
"adversary"	1
"adversely"	1
"adversity"	3
"advertise"	4
"advertised"	8
"advertisement"	5
"advertisements"	19
"advertisers"	8
"advertises"	1
"advertising"	61
"advice"	24
"advise"	3
"advised"	9
"adviser"	29
"advisers"	33
"advises"	7
"advising"	6
"advisories"	13
"advisory"	10
"advocacy"	11
"advocate"	17
"advocated"	4
"advocates"	23
"advocating"	1
"ae"	1
"aedes"	3
"aegypti"	2
"aer"	1
"aerial"	1
"aerobic"	14
"aerobics"	2
"aerobus"	1
"aerodynamic"	1
"aeromexico"	1
"aerospace"	2
"aesthetic"	2
"aesthetics"	1
"afar"	4
"afc"	32
"affable"	1
"affair"	7
"affaire"	1
"affairs"	36
"affect"	19
"affected"	16
"affecting"	4
"affection"	7
"affectionately"	2
"affidavit"	2
"affidavits"	2
"affiliate"	8
"affiliated"	2
"affiliates"	1
"affiliation"	3
"affiliations"	3
"affinity"	1
"affirm"	1
"affirmation"	1
"affirmative"	4
"affirmed"	2
"afflict"	2
"afflicting"	1
"affluence"	2
"affluent"	4
"afford"	24
"affordable"	11
"afforded"	3
"affront"	1
"afghan"	43
"afghane"	2
"afghanistan"	60
"afghans"	2
"aficionado"	1
"aficionados"	1
"afl"	5
"afloat"	1
"afoot"	1
"afoul"	2
"afraid"	18
"afrane"	4
"africa"	35
"african"	88
"africanized"	1
"africans"	2
"afrika"	1
"afrikaans"	1
"after"	874
"afterlife"	5
"aftermarket"	2
"aftermath"	8
"afternoon"	65
"afternoons"	2
"aftershocks"	3
"afterthought"	1
"afterthoughts"	1
"afterward"	13
"afterwards"	3
"again"	179
"against"	413
"agate"	1
"agatha"	1
"agawam"	1
"age"	118
"aged"	6
"agencies"	24
"agency"	62
"agenda"	18
"agent"	74
"agents"	28
"ages"	19
"aggravated"	4
"aggregate"	2
"aggression"	1
"aggressive"	23
"aggressively"	9
"aggrieved"	1
"aghast"	1
"agility"	1
"aging"	6
"agitated"	3
"agitating"	3
"agitation"	1
"agitator"	2
"agitators"	1
"aglitter"	1
"aglow"	2
"agnifilo"	1
"agnos"	1
"ago"	255
"agonizing"	1
"agonizingly"	1
"agony"	1
"agrahamdetnews"	1
"agree"	21
"agreed"	48
"agreeing"	4
"agreement"	37
"agreements"	12
"agrees"	9
"agricultural"	4
"agriculture"	7
"agriprocessors"	6
"agritourism"	5
"ah"	3
"ahadi"	2
"ahead"	75
"ahh"	1
"ahhh"	1
"ahlan"	2
"ahmad"	8
"ahmadinejad"	27
"ahmed"	5
"ahrens"	2
"ai"	3
"aid"	67
"aide"	8
"aided"	5
"aides"	44
"aiding"	2
"aids"	20
"aig"	1
"aigner"	5
"ailing"	5
"ailment"	1
"ailworth"	2
"aim"	11
"aimed"	21
"aiming"	1
"aims"	6
"ain"	6
"air"	132
"airborne"	3
"airbrushed"	1
"aircraft"	13
"aired"	2
"aires"	3
"airfares"	2
"airfields"	2
"airing"	13
"airlifted"	1
"airline"	14
"airliners"	1
"airlines"	8
"airpark"	2
"airplane"	21
"airplanes"	1
"airport"	37
"airports"	3
"airs"	1
"airspace"	1
"airtight"	1
"airtime"	2
"airwaves"	12
"airways"	2
"aisle"	3
"ajar"	1
"ajc"	2
"aka"	1
"akin"	1
"akron"	4
"al"	62
"ala"	5
"alabama"	7
"alachua"	1
"alain"	1
"alam"	1
"alamos"	1
"alan"	11
"alanson"	1
"alarm"	7
"alarmed"	11
"alarming"	7
"alarmism"	1
"alarum"	1
"alas"	1
"alaska"	69
"alaskan"	1
"alaskans"	2
"alatriste"	1
"alban"	1
"albany"	21
"albariño"	2
"albee"	1
"albeit"	5
"albert"	10
"alberta"	2
"alberto"	2
"albertsons"	1
"albright"	1
"albrightsptimes"	1
"album"	23
"albums"	1
"albuquerque"	2
"albuterol"	1
"alcohol"	40
"alcoholic"	3
"alcoholism"	2
"alderman"	5
"aldrich"	1
"aldrin"	2
"ale"	1
"alec"	2
"alecia"	1
"alecky"	1
"alejandro"	6
"alert"	2
"alerts"	2
"ales"	1
"aleutian"	1
"alex"	21
"alexander"	11
"alexandra"	4
"alexandru"	1
"alexis"	1
"alexsander"	1
"alfonse"	1
"alfonso"	3
"alfred"	4
"alfredo"	1
"alfredsson"	5
"algeria"	3
"algerian"	4
"algiers"	1
"algren"	2
"ali"	15
"alias"	1
"alibi"	1
"alice"	4
"alicea"	2
"alicia"	1
"alien"	3
"alienate"	4
"alienated"	2
"alienates"	1
"alienation"	2
"aliens"	3
"align"	3
"aligned"	2
"alignments"	1
"alike"	8
"alikes"	1
"alisa"	5
"alistair"	3
"alito"	4
"alive"	25
"aliya"	1
"all"	1034
"allah"	1
"allan"	7
"allay"	1
"allegation"	2
"allegations"	14
"alleged"	5
"allegedly"	8
"allegiance"	5
"allegiances"	2
"alleging"	4
"allen"	37
"allentown"	2
"allergies"	1
"alleva"	1
"alley"	2
"alleys"	1
"allia"	1
"alliance"	8
"alliances"	1
"alliant"	1
"allianz"	1
"allies"	21
"alligator"	8
"alligators"	6
"allis"	3
"allison"	5
"allisonsptimes"	1
"allman"	1
"allocate"	1
"allocated"	3
"allocation"	2
"allotment"	1
"allow"	61
"allowance"	2
"allowances"	1
"allowed"	63
"allowing"	28
"allows"	22
"allrecipes"	1
"alls"	1
"allstates"	1
"alltournative"	1
